CompanySize,Experience,DiffYearsOfExperience,ExperienceInBusinessArea,ExperienceWithTechnologies,Degree,PassedFirstPhase
Small,5-10,0,No,None,None,Yes
Medium,0-2,-2,Yes,Partial,None,Yes
Large,0-2,-2,No,Partial,M.Tech,No
Large,10+,0,No,None,None,No
Large,10+,-2,Yes,Partial,None,Yes
Small,10+,-2,Yes,Partial,None,No
Small,0-2,2,No,None,B.Tech,No
Large,2-5,1,Yes,Partial,None,No
Large,2-5,1,Yes,Partial,PhD,Yes
Medium,0-2,-2,No,All,PhD,No
Medium,2-5,-2,Yes,None,PhD,No
Medium,10+,0,No,All,B.Tech,Yes
Large,10+,0,No,Partial,None,Yes
Medium,2-5,1,Yes,All,M.Tech,Yes
Small,0-2,2,Yes,All,M.Tech,Yes
Medium,10+,1,No,None,M.Tech,Yes
Small,5-10,2,Yes,Partial,B.Tech,Yes
Medium,2-5,1,No,All,None,No
Medium,5-10,2,No,All,PhD,No
Large,10+,0,No,All,M.Tech,No
Large,2-5,-1,No,None,M.Tech,Yes
Medium,10+,1,No,All,PhD,No
Small,2-5,0,Yes,Partial,PhD,No
Large,10+,0,No,All,B.Tech,No
Medium,0-2,-2,Yes,None,PhD,Yes
Small,0-2,0,Yes,None,PhD,No
Small,10+,0,Yes,All,B.Tech,No
Large,2-5,2,No,None,None,No
Medium,5-10,2,Yes,None,M.Tech,No
Large,2-5,-2,No,None,M.Tech,Yes
Medium,0-2,1,Yes,Partial,PhD,Yes
Small,10+,-1,Yes,All,M.Tech,Yes
Large,2-5,-2,No,Partial,B.Tech,No
Large,2-5,0,Yes,All,PhD,Yes
Medium,2-5,2,Yes,None,None,No
Large,0-2,-2,Yes,None,PhD,No
Large,10+,0,No,All,PhD,No
Medium,2-5,1,No,Partial,None,No
Medium,10+,0,No,Partial,PhD,Yes
Large,10+,2,Yes,None,None,Yes
Large,2-5,0,No,All,None,No
Small,2-5,1,No,Partial,None,No
Large,0-2,-2,Yes,None,B.Tech,No
Medium,5-10,-2,Yes,None,None,No
Large,5-10,-1,Yes,Partial,M.Tech,Yes
Large,5-10,2,Yes,All,PhD,Yes
Small,0-2,0,No,None,PhD,Yes
Small,5-10,1,No,Partial,B.Tech,No
Large,0-2,0,Yes,Partial,None,No
Small,5-10,2,No,None,None,Yes
Small,5-10,-1,Yes,Partial,M.Tech,No
Medium,10+,0,No,Partial,B.Tech,No
Small,10+,-1,Yes,None,M.Tech,No
Small,10+,1,Yes,All,None,Yes
Large,5-10,2,Yes,Partial,None,No
Large,2-5,-1,Yes,All,B.Tech,No
Medium,10+,2,Yes,All,B.Tech,Yes
Small,0-2,2,No,All,None,Yes
Small,10+,1,No,Partial,B.Tech,No
Large,10+,-2,No,Partial,PhD,No
Medium,5-10,-2,Yes,Partial,M.Tech,Yes
Small,5-10,0,No,Partial,None,No
Large,2-5,0,Yes,Partial,PhD,Yes
Medium,2-5,0,No,All,M.Tech,Yes
Small,2-5,-2,Yes,None,PhD,No
Medium,10+,-1,No,None,None,Yes
Small,2-5,1,No,Partial,B.Tech,Yes
Large,2-5,2,Yes,None,PhD,Yes
Large,2-5,1,No,Partial,M.Tech,Yes
Small,10+,0,No,None,B.Tech,Yes
Medium,0-2,0,No,Partial,B.Tech,Yes
Small,5-10,1,Yes,Partial,M.Tech,Yes
Small,0-2,-2,No,None,B.Tech,No
Small,10+,-2,No,Partial,None,Yes
Large,5-10,-2,No,None,PhD,No
Medium,5-10,2,No,None,M.Tech,Yes
Small,5-10,1,Yes,All,B.Tech,No
Small,0-2,-2,Yes,Partial,None,Yes
Medium,2-5,2,No,Partial,PhD,No
Small,10+,1,No,All,PhD,Yes
Medium,2-5,-1,No,Partial,B.Tech,No
Large,2-5,2,Yes,All,M.Tech,No
Small,10+,0,Yes,All,M.Tech,No
Large,2-5,-2,Yes,Partial,B.Tech,Yes
Medium,5-10,1,Yes,None,B.Tech,Yes
Small,10+,-1,No,None,PhD,No
Large,10+,-2,No,None,M.Tech,No
Small,2-5,-1,No,Partial,None,No
Medium,2-5,0,No,Partial,None,Yes
Medium,2-5,1,No,None,None,Yes
Large,5-10,2,No,Partial,None,Yes
Small,5-10,-1,Yes,Partial,B.Tech,Yes
Small,0-2,1,Yes,All,None,Yes
Large,0-2,-1,No,None,B.Tech,Yes
Large,2-5,-2,Yes,Partial,PhD,No
Large,0-2,2,Yes,None,B.Tech,No
Medium,2-5,2,Yes,All,None,No
Medium,10+,-1,Yes,Partial,B.Tech,Yes
Medium,0-2,2,No,All,None,No
Large,10+,2,Yes,Partial,M.Tech,Yes
Large,10+,-1,Yes,None,B.Tech,No
Medium,5-10,-2,No,Partial,None,No
Large,10+,1,No,None,None,Yes
Small,2-5,-2,Yes,Partial,None,No
Medium,0-2,-2,Yes,All,B.Tech,Yes
Small,2-5,1,Yes,All,PhD,No
Small,2-5,-1,Yes,All,PhD,Yes
Small,10+,-1,No,None,M.Tech,Yes
Small,10+,0,No,Partial,None,Yes
Small,5-10,-2,No,Partial,PhD,No
Large,5-10,-1,Yes,None,B.Tech,No
Large,0-2,2,Yes,All,PhD,Yes
Large,0-2,1,Yes,Partial,PhD,No
Small,2-5,2,No,None,PhD,No
Large,0-2,2,No,All,PhD,No
Medium,2-5,0,Yes,All,M.Tech,Yes
Large,10+,-2,Yes,All,None,No
Medium,10+,1,Yes,Partial,PhD,No
Medium,0-2,0,No,Partial,None,Yes
Large,5-10,-2,Yes,Partial,M.Tech,Yes
Small,2-5,2,No,Partial,None,No
Small,10+,0,No,All,PhD,Yes
Medium,0-2,-2,No,None,M.Tech,No
Large,10+,1,Yes,None,PhD,Yes
Large,0-2,-2,Yes,None,M.Tech,Yes
Medium,10+,0,No,Partial,M.Tech,No
Medium,5-10,0,No,Partial,B.Tech,Yes
Medium,10+,2,No,None,M.Tech,No
Small,0-2,2,No,All,PhD,No
Large,2-5,-1,No,Partial,PhD,No
Medium,5-10,-2,No,None,M.Tech,No
Medium,5-10,-1,Yes,All,None,Yes
Medium,0-2,0,No,All,None,No
Small,2-5,0,Yes,Partial,M.Tech,Yes
Large,0-2,-1,Yes,None,B.Tech,No
Large,5-10,-2,Yes,Partial,PhD,Yes
Small,2-5,1,Yes,None,M.Tech,No
Small,10+,-1,No,Partial,M.Tech,Yes
Medium,5-10,-1,No,Partial,None,No
Medium,5-10,2,No,None,M.Tech,Yes
Medium,0-2,2,Yes,All,B.Tech,Yes
Large,0-2,-1,No,All,None,Yes
Small,10+,1,Yes,Partial,None,Yes
Large,10+,2,Yes,All,M.Tech,Yes
Small,10+,-2,Yes,None,None,No
Large,0-2,-2,No,None,PhD,No
Small,5-10,0,Yes,All,None,Yes
Medium,5-10,-1,No,All,M.Tech,No
Small,0-2,2,No,None,None,Yes
Small,0-2,1,No,None,PhD,Yes
Large,2-5,1,No,Partial,B.Tech,Yes
Medium,0-2,1,No,Partial,B.Tech,No
Medium,5-10,0,Yes,None,M.Tech,Yes
Small,5-10,1,No,None,M.Tech,Yes
Medium,0-2,-2,No,None,B.Tech,Yes
Large,10+,2,No,All,PhD,No
Small,2-5,1,Yes,All,PhD,Yes
Medium,0-2,2,No,None,M.Tech,Yes
Small,2-5,-1,No,All,B.Tech,Yes
Large,2-5,-2,Yes,All,B.Tech,Yes
Large,0-2,0,No,Partial,B.Tech,No
Small,2-5,0,Yes,Partial,M.Tech,No
Medium,10+,1,No,All,B.Tech,Yes
Medium,5-10,-1,Yes,Partial,B.Tech,Yes
Small,10+,2,Yes,None,PhD,No
Large,0-2,-1,No,Partial,M.Tech,Yes
Large,0-2,2,Yes,All,B.Tech,No
Medium,2-5,0,Yes,Partial,PhD,No
Small,10+,2,Yes,None,B.Tech,Yes
Medium,5-10,-1,Yes,Partial,PhD,No
Medium,10+,2,Yes,Partial,None,Yes
Small,2-5,1,Yes,All,PhD,Yes
Large,5-10,1,Yes,None,B.Tech,No
Large,10+,0,Yes,All,PhD,Yes
Small,5-10,-2,No,All,None,No
Large,10+,2,Yes,None,B.Tech,No
Small,2-5,-1,No,Partial,PhD,Yes
Medium,5-10,-2,No,Partial,B.Tech,Yes
Medium,5-10,-1,No,Partial,B.Tech,Yes
Large,10+,1,No,All,None,Yes
Medium,10+,-1,No,None,PhD,No
Small,0-2,-2,No,None,M.Tech,Yes
Small,0-2,1,No,None,PhD,Yes
Small,0-2,0,Yes,All,B.Tech,Yes
Large,5-10,0,Yes,Partial,B.Tech,Yes
Large,5-10,-1,No,All,M.Tech,Yes
Medium,0-2,2,Yes,Partial,PhD,Yes
Large,0-2,-1,No,None,PhD,Yes
Medium,2-5,-1,Yes,None,None,Yes
Large,2-5,1,No,Partial,M.Tech,No
Large,5-10,2,Yes,None,B.Tech,No
Medium,0-2,-1,No,All,PhD,No
Large,2-5,1,No,Partial,PhD,No
Medium,5-10,-1,Yes,All,PhD,Yes
Medium,5-10,-1,No,None,None,Yes
Small,2-5,2,No,Partial,None,Yes
Medium,2-5,1,Yes,None,PhD,No
Large,0-2,0,Yes,None,None,No
Large,10+,-1,Yes,All,PhD,Yes
Medium,5-10,1,No,All,None,No
Small,0-2,0,Yes,All,M.Tech,No
Small,2-5,-2,Yes,Partial,B.Tech,No
Medium,5-10,0,Yes,All,B.Tech,Yes
Large,10+,0,No,All,None,Yes
Large,2-5,1,Yes,Partial,PhD,Yes
Medium,2-5,-1,Yes,None,M.Tech,No
Medium,5-10,-2,Yes,All,PhD,No
Medium,2-5,0,Yes,Partial,PhD,Yes
Small,10+,0,No,All,M.Tech,Yes
Small,10+,-2,Yes,All,M.Tech,No
Medium,5-10,0,Yes,Partial,None,No
Small,2-5,-1,Yes,All,None,Yes
Large,5-10,0,Yes,Partial,B.Tech,No
Small,10+,2,Yes,All,M.Tech,Yes
Large,10+,-2,No,All,None,Yes
Medium,0-2,0,No,Partial,None,No
Large,2-5,-2,No,All,B.Tech,No
Medium,5-10,-1,No,Partial,PhD,Yes
Medium,10+,0,Yes,Partial,None,No
Medium,10+,0,Yes,Partial,B.Tech,No
Small,5-10,-2,Yes,Partial,None,No
Medium,0-2,0,Yes,All,M.Tech,Yes
Large,10+,-2,Yes,All,None,Yes
Small,5-10,-2,Yes,All,B.Tech,No
Medium,10+,0,No,Partial,PhD,Yes
Large,0-2,2,Yes,None,M.Tech,No
Small,0-2,-1,No,None,B.Tech,No
Small,2-5,2,Yes,All,None,Yes
Medium,10+,-1,No,All,B.Tech,Yes
Small,2-5,-1,No,Partial,PhD,No
Large,5-10,-1,No,Partial,PhD,No
Large,0-2,0,Yes,Partial,M.Tech,No
Medium,5-10,-2,Yes,None,None,Yes
Medium,2-5,-1,Yes,None,PhD,No
Medium,0-2,0,Yes,All,M.Tech,No
Large,2-5,-1,Yes,None,None,Yes
Medium,2-5,1,Yes,All,PhD,No
Small,2-5,-1,Yes,None,PhD,No
Medium,0-2,-1,Yes,All,PhD,No
Small,10+,2,Yes,None,PhD,Yes
Large,5-10,1,No,Partial,B.Tech,Yes
Medium,10+,-1,No,Partial,None,Yes
Medium,0-2,1,No,All,B.Tech,Yes
Small,2-5,1,No,Partial,M.Tech,No
Small,10+,2,No,None,None,No
Medium,5-10,1,No,Partial,PhD,Yes
Small,0-2,2,Yes,Partial,B.Tech,No
Large,10+,0,No,Partial,PhD,Yes
Small,5-10,1,Yes,All,None,No
Large,10+,0,Yes,All,None,No
Large,10+,-1,Yes,All,PhD,No
Medium,5-10,2,Yes,Partial,M.Tech,Yes
Small,5-10,0,Yes,None,PhD,Yes
Small,2-5,1,Yes,All,M.Tech,No
Large,2-5,-2,Yes,All,M.Tech,No
Medium,2-5,1,Yes,None,None,Yes
Medium,10+,1,Yes,Partial,B.Tech,Yes
Large,10+,-2,Yes,All,M.Tech,Yes
Large,0-2,2,Yes,None,PhD,Yes
Medium,0-2,1,No,Partial,PhD,Yes
Large,5-10,1,No,Partial,M.Tech,No
Medium,10+,1,Yes,All,None,No
Small,5-10,-1,No,Partial,M.Tech,Yes
Small,5-10,1,Yes,None,M.Tech,No
Large,10+,-2,Yes,None,B.Tech,No
Small,10+,1,Yes,All,None,Yes
Small,5-10,-1,No,Partial,B.Tech,Yes
Medium,10+,2,No,All,PhD,Yes
Small,0-2,-2,Yes,None,PhD,No
Small,10+,2,No,Partial,M.Tech,Yes
Medium,5-10,-1,No,None,None,No
Medium,0-2,-2,Yes,All,PhD,No
Small,2-5,-2,No,Partial,M.Tech,No
Large,0-2,0,No,All,B.Tech,Yes
Small,2-5,1,No,None,PhD,Yes
Large,2-5,2,Yes,Partial,PhD,No
Small,0-2,-2,Yes,Partial,M.Tech,Yes
Medium,5-10,0,No,Partial,M.Tech,No
Large,2-5,2,No,None,M.Tech,No
Large,5-10,-1,No,None,PhD,Yes
Small,0-2,-2,No,All,M.Tech,Yes
Medium,2-5,-2,Yes,Partial,B.Tech,No
Large,0-2,-2,Yes,All,None,No
Large,5-10,1,No,Partial,B.Tech,No
Large,5-10,-2,Yes,All,B.Tech,No
Large,10+,-1,Yes,None,PhD,No
Large,0-2,-2,No,Partial,None,Yes
Medium,2-5,-1,No,All,PhD,No
Large,5-10,1,Yes,None,B.Tech,Yes
Large,10+,2,No,None,M.Tech,Yes
Small,0-2,-2,Yes,All,M.Tech,No
Large,10+,-1,No,None,M.Tech,Yes
Small,2-5,1,Yes,Partial,None,No
Small,0-2,0,Yes,All,B.Tech,No
Medium,0-2,1,Yes,All,None,Yes
Medium,0-2,0,No,All,B.Tech,No
Small,10+,-2,No,Partial,M.Tech,Yes
Small,10+,-1,Yes,None,M.Tech,Yes
Large,10+,-1,No,Partial,M.Tech,Yes
Large,2-5,-1,Yes,Partial,None,Yes
Medium,2-5,2,No,All,PhD,No
Large,0-2,-1,Yes,Partial,None,No
Medium,10+,2,Yes,Partial,None,Yes
Large,5-10,-1,No,Partial,M.Tech,Yes
Large,0-2,2,No,Partial,None,No
Medium,5-10,-1,No,All,PhD,No
Medium,5-10,1,No,None,None,Yes
Large,5-10,-2,No,None,B.Tech,No
Small,10+,-2,Yes,All,PhD,Yes
Small,0-2,2,No,Partial,B.Tech,Yes
Large,5-10,2,Yes,All,M.Tech,Yes
Small,10+,-2,No,All,None,Yes
Large,2-5,1,Yes,All,None,No
Medium,5-10,-2,Yes,All,None,Yes
Medium,5-10,0,Yes,Partial,PhD,No
Small,10+,1,Yes,All,None,No
Small,0-2,-2,No,Partial,PhD,Yes
Small,10+,2,No,None,PhD,Yes
Small,5-10,2,No,None,M.Tech,Yes
Large,0-2,1,No,All,B.Tech,No
Medium,10+,-1,Yes,All,M.Tech,No
Small,0-2,1,No,Partial,B.Tech,Yes
Medium,10+,-2,Yes,All,None,No
Small,5-10,0,No,Partial,M.Tech,Yes
Small,2-5,0,Yes,Partial,None,No
Medium,10+,0,No,None,PhD,No
Small,10+,0,No,Partial,None,Yes
Large,0-2,2,No,All,B.Tech,Yes
Small,0-2,2,Yes,All,B.Tech,Yes
Small,2-5,-1,No,Partial,B.Tech,No
Large,2-5,0,No,All,B.Tech,Yes
Large,0-2,-2,Yes,All,M.Tech,Yes
Large,10+,0,No,All,M.Tech,No
Large,10+,0,No,All,B.Tech,No
Medium,10+,-2,Yes,None,None,No
Small,10+,0,No,Partial,PhD,Yes
Medium,0-2,0,Yes,All,B.Tech,No
Medium,2-5,1,No,Partial,PhD,Yes
Small,2-5,2,Yes,None,PhD,Yes
Small,2-5,-2,No,Partial,PhD,No
Small,2-5,2,No,None,M.Tech,Yes
Medium,10+,-1,Yes,All,B.Tech,Yes
Medium,0-2,-1,Yes,Partial,M.Tech,Yes
Medium,0-2,0,Yes,None,M.Tech,No
Medium,2-5,1,No,None,M.Tech,Yes
Medium,10+,1,No,All,None,No
Large,0-2,1,Yes,None,M.Tech,No
Medium,10+,1,No,None,B.Tech,No
Small,0-2,1,No,Partial,PhD,No
Medium,2-5,1,No,All,None,No
Small,2-5,-1,Yes,All,B.Tech,No
Small,0-2,-1,No,Partial,None,No
Large,5-10,-2,No,None,PhD,No
Medium,10+,2,Yes,None,PhD,No
Large,2-5,1,Yes,None,None,No
Medium,5-10,1,Yes,All,PhD,No
Large,5-10,0,No,All,PhD,No
Large,5-10,2,Yes,All,M.Tech,No
Medium,0-2,-2,No,All,M.Tech,Yes
Small,2-5,1,No,All,B.Tech,No
Small,10+,2,Yes,Partial,None,No
Large,0-2,2,Yes,All,PhD,No
Large,2-5,1,No,None,PhD,Yes
Small,10+,0,No,Partial,M.Tech,No
Large,10+,-2,No,Partial,B.Tech,No
Small,0-2,-2,Yes,All,B.Tech,No
Small,2-5,1,No,All,None,No
Large,10+,-2,No,None,B.Tech,No
Large,10+,0,Yes,All,None,Yes
Small,5-10,-2,Yes,Partial,PhD,Yes
Large,10+,0,Yes,Partial,PhD,Yes
Large,2-5,2,Yes,None,PhD,Yes
Large,2-5,1,Yes,None,B.Tech,Yes
Small,0-2,2,No,Partial,M.Tech,No
Small,2-5,0,No,None,None,Yes
Large,0-2,1,Yes,None,B.Tech,No
Large,5-10,0,Yes,All,PhD,Yes
Large,2-5,-1,Yes,All,B.Tech,Yes
Small,5-10,1,Yes,None,PhD,No
Large,2-5,2,Yes,All,B.Tech,No
Medium,10+,1,Yes,All,M.Tech,No
Medium,2-5,0,Yes,None,None,Yes
Large,10+,2,No,All,M.Tech,Yes
Large,0-2,0,No,Partial,None,Yes
Medium,10+,-2,Yes,Partial,None,Yes
Small,0-2,2,Yes,None,PhD,No
